pair	key	word	reason
11	chu1zhong1	初衷	与常用词「初中」同音——学生凭词义就知道答案
12	chuan1zhuo2	穿着	音高模型：男女声第2字都更像第3声（12→13，证据 5.4）
13	cai1xiang3	猜想	音高模型：男女声第1字都更像第2声（13→23，证据 3.8）
13	chi1ku3	吃苦	音高模型：男女声第2字都更像第2声（13→12，证据 5.0）
13	feng1man3	丰满	音高模型：男女声第2字都更像第4声（13→14，证据 5.4）
14	ba1gua4	八卦	语言学预测的误读 14→24 得到音频支持（证据 2.9）：八 在四声前的口语变调 bá
14	bei1fu4	背负	音高模型：男女声第2字都更像第3声（14→13，证据 6.6）
14	ben1fu4	奔赴	音高模型：男女声第2字都更像第3声（14→13，证据 4.0）
14	chang1sheng4	昌盛	音高模型：男女声第2字都更像第3声（14→13，证据 6.8）
14	chong1chi4	充斥	音高模型：男女声第2字都更像第3声（14→13，证据 9.6）
14	chong1ci4	冲刺	音高模型：男女声第2字都更像第3声（14→13，证据 4.7）
14	chong1lang4	冲浪	音高模型：男女声第1字都更像第2声（14→24，证据 3.8）
21	ji2ta1	吉他	音高模型：男女声第2字都更像第4声（21→24，证据 3.3）
22	chen2zhuo2	沉着	音高模型：男女声第2字都更像第3声（22→23，证据 3.7）
22	chuan2yan2	传言	音高模型：男女声第1字都更像第1声（22→12，证据 6.4）
23	can2ren3	残忍	音高模型：男女声第1字都更像第1声（23→13，证据 5.5）
23	ci2dian3	辞典	与常用词「词典」同音——学生凭词义就知道答案
34	bao3mi4	保密	音高模型：男女声第2字都更像第1声（34→31，证据 4.0）
34	ben3se4	本色	音高模型：男女声第1字都更像第2声（34→24，证据 30.7）；语言学预测的误读 34→33 得到音频支持（证据 22.1）：疑读成口语 běnshǎi；识别器两个声音都听成「本闪」（第2字 3 声），音高证据同向（22.1）
34	chou3e4	丑恶	音高模型：男女声第2字都更像第1声（34→31，证据 15.2）
34	dan3liang4	胆量	音高模型：男女声第2字都更像第1声（34→31，证据 6.6）
43	an4niu3	按钮	音高模型：男女声第2字都更像第2声（43→42，证据 8.7）
44	ai4mei4	暧昧	音高模型：男女声第1字都更像第3声（44→34，证据 7.7）
44	ao4mi4	奥秘	音高模型：男女声第1字都更像第3声（44→34，证据 4.2）
44	bai4huai4	败坏	音高模型：男女声第2字都更像第1声（44→41，证据 4.3）
44	bao4fu4	报复/抱负	音高模型：男女声第2字都更像第3声（44→43，证据 16.6）
